future_score,score,num_food,num_capsules,pacman_x,pacman_y,ghost0_x,ghost0_y,ghost1_x,ghost1_y,ghost2_x,ghost2_y,ghost3_x,ghost3_y,north,south,east,west,stop,prev_action
304,305,0,4,12,15,1,11,8,13,-1,-1,-1,-1,1,1,1,West
303,304,0,4,11,15,1,11,9,13,-1,-1,-1,-1,1,1,1,West
302,303,0,4,12,15,1,11,9,13,-1,-1,-1,-1,1,1,1,East
301,302,0,4,11,15,1,11,9,13,-1,-1,-1,-1,1,1,1,West
300,301,0,4,10,15,2,11,10,13,-1,-1,-1,-1,1,1,West
299,300,0,4,11,15,1,11,11,13,-1,-1,-1,-1,1,1,1,East
298,299,0,4,12,15,1,10,11,13,-1,-1,-1,-1,1,1,1,East
297,298,0,4,11,15,1,11,12,13,-1,-1,-1,-1,1,1,1,West
296,297,0,4,12,15,1,10,11,13,-1,-1,-1,-1,1,1,1,East
295,296,0,4,13,15,1,10,12,13,-1,-1,-1,-1,1,1,1,1,East
294,295,0,4,13,16,1,9,13,13,-1,-1,-1,-1,1,1,1,1,North
293,294,0,4,13,15,1,8,13,13,-1,-1,-1,-1,1,1,1,1,South
292,293,0,4,14,15,1,8,14,13,-1,-1,-1,-1,1,1,1,1,East
291,292,0,4,15,15,1,8,14,13,-1,-1,-1,-1,1,1,1,East
290,291,0,4,14,15,1,9,15,13,-1,-1,-1,-1,1,1,1,1,West
289,290,0,4,13,15,1,8,15,13,-1,-1,-1,-1,1,1,1,1,West
288,289,0,4,14,15,1,8,14,13,-1,-1,-1,-1,1,1,1,1,East
287,288,0,4,15,15,2,8,13,13,-1,-1,-1,-1,1,1,1,East
286,287,0,4,14,15,1,8,12,13,-1,-1,-1,-1,1,1,1,1,West
285,286,0,4,14,16,2,8,12,13,-1,-1,-1,-1,1,1,1,1,North
284,285,0,4,14,15,1,8,12,13,-1,-1,-1,-1,1,1,1,1,South
283,284,0,4,14,16,1,9,11,13,-1,-1,-1,-1,1,1,1,1,North
282,283,0,4,14,15,1,10,10,13,-1,-1,-1,-1,1,1,1,1,South
281,282,0,4,13,15,1,9,11,13,-1,-1,-1,-1,1,1,1,1,West
280,281,0,4,14,15,1,9,12,13,-1,-1,-1,-1,1,1,1,1,East
279,280,0,4,15,15,1,8,12,13,-1,-1,-1,-1,1,1,1,East
278,279,0,4,14,15,1,8,11,13,-1,-1,-1,-1,1,1,1,1,West
277,278,0,4,13,15,1,9,11,13,-1,-1,-1,-1,1,1,1,1,West
276,277,0,4,13,16,1,9,11,13,-1,-1,-1,-1,1,1,1,1,North
275,276,0,4,13,15,1,10,10,13,-1,-1,-1,-1,1,1,1,1,South
