@RELATION training_keyboard


   @ATTRIBUTE score NUMERIC
   @ATTRIBUTE prev_score NUMERIC
   @ATTRIBUTE prev_action {Stop,West,East,North,South}
   @ATTRIBUTE num_food NUMERIC
   @ATTRIBUTE num_capsules NUMERIC
   @ATTRIBUTE pacman_x NUMERIC
   @ATTRIBUTE pacman_y NUMERIC
   @ATTRIBUTE ghost0_x NUMERIC
   @ATTRIBUTE ghost0_y NUMERIC
   @ATTRIBUTE ghost1_x NUMERIC
   @ATTRIBUTE ghost1_y NUMERIC
   @ATTRIBUTE ghost2_x NUMERIC
   @ATTRIBUTE ghost2_y NUMERIC
   @ATTRIBUTE ghost3_x NUMERIC
   @ATTRIBUTE ghost3_y NUMERIC


   @data
-8,-9,East,0,4,17,3,10,15,13,17,13,15,15,15
-9,-10,East,0,4,18,3,11,15,13,17,12,15,14,15
-10,-11,East,0,4,19,3,10,15,14,17,12,15,14,16
-11,-12,East,0,4,20,3,11,15,13,17,11,15,14,15
-12,-13,East,0,4,21,3,11,15,12,17,10,15,14,16
-13,-14,East,0,4,22,3,10,15,13,17,10,15,14,17
-14,-15,East,0,4,23,3,11,15,13,16,10,15,14,16
-15,-16,East,0,4,24,3,12,15,13,17,10,15,14,15
-16,-17,East,0,4,25,3,12,15,12,17,10,15,15,15
-17,-18,East,0,4,26,3,13,15,12,17,11,15,15,15
-18,-19,East,0,4,26,3,12,15,11,17,10,15,14,15
-19,-20,North,0,4,26,4,11,15,11,17,11,15,13,15
-20,-21,North,0,4,26,5,11,15,10,17,12,15,12,15
-21,-22,West,0,4,25,5,12,15,10,17,12,15,12,15
-22,-23,West,0,4,24,5,13,15,10,17,11,15,12,15
-23,-24,North,0,4,24,6,13,15,11,17,10,15,13,15
-24,-25,North,0,4,24,7,14,15,11,17,11,15,13,16
-25,-26,North,0,4,24,8,14,16,11,17,10,15,14,16
-26,-27,East,0,4,25,8,14,15,11,17,11,15,14,16
-27,-28,East,0,4,26,8,13,15,12,17,11,15,14,15
-28,-29,East,0,4,26,8,12,15,12,18,12,15,14,15
-29,-30,North,0,4,26,9,12,15,12,18,13,15,13,15
-30,-31,North,0,4,26,10,11,15,12,17,13,16,13,15
-31,-32,North,0,4,26,11,11,15,12,17,14,16,13,15
-32,-33,West,0,4,25,11,12,15,11,17,14,17,13,15
