@RELATION training_tutorial1


   @ATTRIBUTE score NUMERIC
   @ATTRIBUTE prev_score NUMERIC
   @ATTRIBUTE prev_action {Stop,West,East,North,South}
   @ATTRIBUTE num_food NUMERIC
   @ATTRIBUTE num_capsules NUMERIC
   @ATTRIBUTE pacman_x NUMERIC
   @ATTRIBUTE pacman_y NUMERIC
   @ATTRIBUTE ghost0_x NUMERIC
   @ATTRIBUTE ghost0_y NUMERIC
   @ATTRIBUTE ghost1_x NUMERIC
   @ATTRIBUTE ghost1_y NUMERIC
   @ATTRIBUTE ghost2_x NUMERIC
   @ATTRIBUTE ghost2_y NUMERIC
   @ATTRIBUTE ghost3_x NUMERIC
   @ATTRIBUTE ghost3_y NUMERIC


   @data
-31,-32,East,0,0,4,6,6,4,8,6,11,3,16,6
-32,-33,East,0,0,5,6,6,4,8,6,11,3,16,6
-33,-34,West,0,0,4,6,6,4,8,6,11,3,16,6
-34,-35,East,0,0,5,6,6,4,8,6,11,3,16,6
-35,-36,West,0,0,4,6,6,4,8,6,11,3,16,6
-36,-37,West,0,0,3,6,6,4,8,6,11,3,16,6
-37,-38,East,0,0,4,6,6,4,8,6,11,3,16,6
-38,-39,West,0,0,3,6,6,4,8,6,11,3,16,6
-39,-40,East,0,0,4,6,6,4,8,6,11,3,16,6
-40,-41,East,0,0,5,6,6,4,8,6,11,3,16,6
-41,-42,West,0,0,4,6,6,4,8,6,11,3,16,6
-42,-43,West,0,0,3,6,6,4,8,6,11,3,16,6
-43,-44,East,0,0,4,6,6,4,8,6,11,3,16,6
-44,-45,West,0,0,3,6,6,4,8,6,11,3,16,6
-45,-46,East,0,0,4,6,6,4,8,6,11,3,16,6
-46,-47,East,0,0,5,6,6,4,8,6,11,3,16,6
-47,-48,East,0,0,6,6,6,4,8,6,11,3,16,6
-48,-49,East,0,0,7,6,6,4,8,6,11,3,16,6
151,150,East,0,0,8,6,6,4,-1,-1,11,3,16,6
150,149,East,0,0,9,6,6,4,-1,-1,11,3,16,6
149,148,West,0,0,8,6,6,4,-1,-1,11,3,16,6
148,147,West,0,0,7,6,6,4,-1,-1,11,3,16,6
147,146,South,0,0,7,5,6,4,-1,-1,11,3,16,6
146,145,South,0,0,7,4,6,4,-1,-1,11,3,16,6
345,344,West,0,0,6,4,-1,-1,-1,-1,11,3,16,6
344,343,East,0,0,7,4,-1,-1,-1,-1,11,3,16,6
343,342,East,0,0,8,4,-1,-1,-1,-1,11,3,16,6
342,341,East,0,0,9,4,-1,-1,-1,-1,11,3,16,6
341,340,East,0,0,10,4,-1,-1,-1,-1,11,3,16,6
340,339,South,0,0,10,3,-1,-1,-1,-1,11,3,16,6
539,538,East,0,0,11,3,-1,-1,-1,-1,-1,-1,16,6
538,537,East,0,0,12,3,-1,-1,-1,-1,-1,-1,16,6
537,536,East,0,0,13,3,-1,-1,-1,-1,-1,-1,16,6
536,535,North,0,0,13,4,-1,-1,-1,-1,-1,-1,16,6
535,534,East,0,0,14,4,-1,-1,-1,-1,-1,-1,16,6
534,533,North,0,0,14,5,-1,-1,-1,-1,-1,-1,16,6
533,532,North,0,0,14,6,-1,-1,-1,-1,-1,-1,16,6
532,531,East,0,0,15,6,-1,-1,-1,-1,-1,-1,16,6
