@relation 'training_tutorial1-weka.filters.unsupervised.attribute.Reorder-R1,2,4,5,6,7,8,9,10,11,12,13,14,15,3'

@attribute score numeric
@attribute prev_score numeric
@attribute num_food numeric
@attribute num_capsules numeric
@attribute pacman_x numeric
@attribute pacman_y numeric
@attribute ghost0_x numeric
@attribute ghost0_y numeric
@attribute ghost1_x numeric
@attribute ghost1_y numeric
@attribute ghost2_x numeric
@attribute ghost2_y numeric
@attribute ghost3_x numeric
@attribute ghost3_y numeric
@attribute prev_action {Stop,West,East,North,South}

@data
-4,-5,0,0,5,6,6,4,8,6,11,3,16,6,East
-6,-7,0,0,5,6,6,4,8,6,11,3,16,6,East
-7,-8,0,0,6,6,6,4,8,6,11,3,16,6,East
-8,-9,0,0,7,6,6,4,8,6,11,3,16,6,East
191,190,0,0,8,6,6,4,-1,-1,11,3,16,6,East
190,189,0,0,9,6,6,4,-1,-1,11,3,16,6,East
384,383,0,0,7,4,-1,-1,-1,-1,11,3,16,6,East
383,382,0,0,8,4,-1,-1,-1,-1,11,3,16,6,East
382,381,0,0,9,4,-1,-1,-1,-1,11,3,16,6,East
381,380,0,0,10,4,-1,-1,-1,-1,11,3,16,6,East
579,578,0,0,11,3,-1,-1,-1,-1,-1,-1,16,6,East
578,577,0,0,12,3,-1,-1,-1,-1,-1,-1,16,6,East
577,576,0,0,13,3,-1,-1,-1,-1,-1,-1,16,6,East
575,574,0,0,14,4,-1,-1,-1,-1,-1,-1,16,6,East
568,567,0,0,15,6,-1,-1,-1,-1,-1,-1,16,6,East
-1,-2,121,2,5,12,9,3,11,7,19,12,22,9,East
-2,-3,121,2,6,12,9,3,11,7,19,12,22,9,East
196,195,119,2,7,11,9,3,11,7,19,12,22,9,East
294,293,118,2,8,10,9,3,11,7,19,12,22,9,East
492,491,116,2,9,9,9,3,11,7,19,12,22,9,East
590,589,115,2,10,8,9,3,11,7,19,12,22,9,East
888,887,114,2,11,7,9,3,-1,-1,19,12,22,9,East
1481,1480,110,2,10,3,-1,-1,-1,-1,19,12,22,9,East
1479,1478,110,2,11,4,-1,-1,-1,-1,19,12,22,9,East
1577,1576,109,2,12,5,-1,-1,-1,-1,19,12,22,9,East
1575,1574,109,2,13,6,-1,-1,-1,-1,19,12,22,9,East
1573,1572,109,2,14,7,-1,-1,-1,-1,19,12,22,9,East
1671,1670,108,2,15,8,-1,-1,-1,-1,19,12,22,9,East
1669,1668,108,2,16,9,-1,-1,-1,-1,19,12,22,9,East
1867,1866,106,2,17,10,-1,-1,-1,-1,19,12,22,9,East
1965,1964,105,2,18,11,-1,-1,-1,-1,19,12,22,9,East
2263,2262,104,2,19,12,-1,-1,-1,-1,-1,-1,22,9,East
2361,2360,103,2,20,11,-1,-1,-1,-1,-1,-1,22,9,East
2559,2558,101,2,21,10,-1,-1,-1,-1,-1,-1,22,9,East
99,98,52,2,10,1,1,5,8,5,11,5,18,5,East
295,294,50,2,8,1,1,5,8,5,11,5,18,5,East
293,292,50,2,8,1,1,5,8,5,11,5,18,5,East
292,291,50,2,9,1,1,5,8,5,11,5,18,5,East
289,288,50,2,8,1,1,5,8,5,11,5,18,5,East
288,287,50,2,9,1,1,5,8,5,11,5,18,5,East
287,286,50,2,10,1,1,5,8,5,11,5,18,5,East
284,283,50,2,9,1,1,5,8,5,11,5,18,5,East
874,873,44,2,6,4,1,5,8,5,11,5,18,5,East
967,966,43,2,6,5,1,5,8,5,11,5,18,5,East
965,964,43,2,6,5,1,5,8,5,11,5,18,5,East
963,962,43,2,6,5,1,5,8,5,11,5,18,5,East
961,960,43,2,6,5,1,5,8,5,11,5,18,5,East
959,958,43,2,6,5,1,5,8,5,11,5,18,5,East
957,956,43,2,6,5,1,5,8,5,11,5,18,5,East
