@relation 'training_keyboard-weka.filters.unsupervised.attribute.Reorder-R1,2,4,5,6,7,8,9,10,11,12,13,14,15,3'

@attribute score numeric
@attribute prev_score numeric
@attribute num_food numeric
@attribute num_capsules numeric
@attribute pacman_x numeric
@attribute pacman_y numeric
@attribute ghost0_x numeric
@attribute ghost0_y numeric
@attribute ghost1_x numeric
@attribute ghost1_y numeric
@attribute ghost2_x numeric
@attribute ghost2_y numeric
@attribute ghost3_x numeric
@attribute ghost3_y numeric
@attribute prev_action {Stop,West,East,North,South}

@data
-10,-11,0,4,19,3,10,15,14,17,12,15,14,16,East
-11,-12,0,4,20,3,11,15,13,17,11,15,14,15,East
-12,-13,0,4,21,3,11,15,12,17,10,15,14,16,East
-13,-14,0,4,22,3,10,15,13,17,10,15,14,17,East
-14,-15,0,4,23,3,11,15,13,16,10,15,14,16,East
-15,-16,0,4,24,3,12,15,13,17,10,15,14,15,East
-16,-17,0,4,25,3,12,15,12,17,10,15,15,15,East
-17,-18,0,4,26,3,13,15,12,17,11,15,15,15,East
-18,-19,0,4,26,3,12,15,11,17,10,15,14,15,East
-19,-20,0,4,26,4,11,15,11,17,11,15,13,15,North
-20,-21,0,4,26,5,11,15,10,17,12,15,12,15,North
-21,-22,0,4,25,5,12,15,10,17,12,15,12,15,West
-22,-23,0,4,24,5,13,15,10,17,11,15,12,15,West
-23,-24,0,4,24,6,13,15,11,17,10,15,13,15,North
-24,-25,0,4,24,7,14,15,11,17,11,15,13,16,North
-25,-26,0,4,24,8,14,16,11,17,10,15,14,16,North
-26,-27,0,4,25,8,14,15,11,17,11,15,14,16,East
-27,-28,0,4,26,8,13,15,12,17,11,15,14,15,East
-28,-29,0,4,26,8,12,15,12,18,12,15,14,15,East
-29,-30,0,4,26,9,12,15,12,18,13,15,13,15,North
-30,-31,0,4,26,10,11,15,12,17,13,16,13,15,North
-31,-32,0,4,26,11,11,15,12,17,14,16,13,15,North
-32,-33,0,4,25,11,12,15,11,17,14,17,13,15,West
-33,-34,0,4,24,11,12,15,12,17,14,17,14,15,West
